state,year,quarter,category,transaction_count,transaction_amount,log_transaction_amount
Andaman & Nicobar Islands,2021,1,Recharge & bill payments,84119,37160922.86506996,17.430768333416523
Andaman & Nicobar Islands,2021,1,Merchant payments,53090,78606979.05751458,18.179971058259508
Andaman & Nicobar Islands,2021,1,Financial Services,884,1469351.0852598653,14.200332103265794
Andaman & Nicobar Islands,2021,1,Others,1201,1077918.666433228,13.89054350674033
Andaman & Nicobar Islands,2021,2,Peer-to-peer payments,132772,748382044.7707307,20.433424161925092
Andaman & Nicobar Islands,2021,2,Recharge & bill payments,120911,43691961.26275121,17.592674713234477
Andaman & Nicobar Islands,2021,2,Merchant payments,85143,103707408.50908463,18.457084122036665
Andaman & Nicobar Islands,2021,2,Financial Services,960,2038521.5136710338,14.52773584541447
Andaman & Nicobar Islands,2021,2,Others,1628,1327080.0560584562,14.098492393633121
Andaman & Nicobar Islands,2021,3,Peer-to-peer payments,192321,1077787837.1562996,20.79817647944779
Andaman & Nicobar Islands,2021,3,Recharge & bill payments,136010,51243450.85925055,17.7520983992197
Andaman & Nicobar Islands,2021,3,Merchant payments,118340,176991328.21761328,18.991611301867067
Andaman & Nicobar Islands,2021,3,Financial Services,990,2351013.441729573,14.67035747030622
Andaman & Nicobar Islands,2021,3,Others,2103,1650766.1267105162,14.316750663111593
Andaman & Nicobar Islands,2021,4,Peer-to-peer payments,285778,1544932663.2744582,21.158246163352477
Andaman & Nicobar Islands,2021,4,Merchant payments,210164,322842314.62433755,19.59267457506334
Andaman & Nicobar Islands,2021,4,Recharge & bill payments,135608,59243518.11464358,17.89716694996553
Andaman & Nicobar Islands,2021,4,Financial Services,1718,3137965.167474068,14.959085430659972
Andaman & Nicobar Islands,2021,4,Others,2855,2453640.142743944,14.713083659959144
Andaman & Nicobar Islands,2022,1,Peer-to-peer payments,342649,1682328505.7254477,21.243444686636145
Andaman & Nicobar Islands,2022,1,Merchant payments,284298,370091558.68373305,19.729260991594398
Andaman & Nicobar Islands,2022,1,Recharge & bill payments,163401,71300133.66101266,18.082408774036494
Andaman & Nicobar Islands,2022,1,Financial Services,1757,2869682.0229511866,14.869712136671566
Andaman & Nicobar Islands,2022,1,Others,2643,2440321.9820225406,14.70764095819066
Andaman & Nicobar Islands,2022,2,Merchant payments,449540,510838980.9061847,20.051564994610523
Andaman & Nicobar Islands,2022,2,Peer-to-peer payments,437606,2088309073.4552848,21.459620520176717
Andaman & Nicobar Islands,2022,2,Recharge & bill payments,179515,82232936.61795366,18.225066480715565
Andaman & Nicobar Islands,2022,2,Financial Services,1448,2089862.3927160464,14.552609259467964
Andaman & Nicobar Islands,2022,2,Others,3108,2449496.7081265687,14.711393544410836
Andaman & Nicobar Islands,2022,3,Merchant payments,716105,693438186.296541,20.357172662234873
Andaman & Nicobar Islands,2022,3,Peer-to-peer payments,622217,2514535154.56483,21.645353794613904
Andaman & Nicobar Islands,2022,3,Recharge & bill payments,240766,97748065.62714244,18.397903977883686
Andaman & Nicobar Islands,2022,3,Financial Services,1814,2166304.9779766416,14.588533960636715
Andaman & Nicobar Islands,2022,3,Others,3477,2744060.670897343,14.824949742392175
Andaman & Nicobar Islands,2022,4,Merchant payments,956536,906365300.6585041,20.624952985456463
Andaman & Nicobar Islands,2022,4,Peer-to-peer payments,768758,2961630584.8271313,21.80900582719747
Andaman & Nicobar Islands,2022,4,Recharge & bill payments,256050,110037119.66941178,18.516328327460673
Andaman & Nicobar Islands,2022,4,Financial Services,2499,3533987.2301130476,15.077937601384543
Andaman & Nicobar Islands,2022,4,Others,3692,3107412.043626394,14.949301119232565
Andaman & Nicobar Islands,2023,1,Merchant payments,1122063,1008821751.0,20.732048904634702
Andaman & Nicobar Islands,2023,1,Peer-to-peer payments,862347,3299762230.0,21.91711625161091
Andaman & Nicobar Islands,2023,1,Recharge & bill payments,286024,146338470.0,18.801432791094424
Andaman & Nicobar Islands,2023,1,Financial Services,2515,3556954.0,15.08441539974008
Andaman & Nicobar Islands,2023,1,Others,3443,3049182.0,14.930384243847866
Andaman & Nicobar Islands,2023,2,Merchant payments,1410653,1159905474.0,20.87160435167547
Andaman & Nicobar Islands,2023,2,Peer-to-peer payments,970525,3664415887.0,22.02193478386713
Andaman & Nicobar Islands,2023,2,Recharge & bill payments,320922,158455723.0,18.880985768409268
Andaman & Nicobar Islands,2023,2,Financial Services,2158,4161814.0,15.241461835164039
Andaman & Nicobar Islands,2023,2,Others,3517,3405338.0,15.040855052081401
Andaman & Nicobar Islands,2023,3,Merchant payments,1657848,1289780198.0,20.97773765243015
Andaman & Nicobar Islands,2023,3,Peer-to-peer payments,1111211,3757627272.0,22.04705355074099
Andaman & Nicobar Islands,2023,3,Recharge & bill payments,323935,157992380.0,18.87805736830956
Andaman & Nicobar Islands,2023,3,Financial Services,2199,3850023.0,15.163589940010771
Andaman & Nicobar Islands,2023,3,Others,3183,2346918.0,14.668613962094442
Andaman & Nicobar Islands,2023,4,Merchant payments,2039888,1653303276.0,21.226041109616023
Andaman & Nicobar Islands,2023,4,Peer-to-peer payments,1321796,4420459049.0,22.209509385109268
Andaman & Nicobar Islands,2023,4,Recharge & bill payments,327460,185028400.0,19.036019890178693
Andaman & Nicobar Islands,2023,4,Financial Services,3276,7836466.0,15.87429865300378
Andaman & Nicobar Islands,2023,4,Others,3363,2925308.0,14.888910674094115
Andaman & Nicobar Islands,2024,1,Merchant payments,2401038,1887811915.0,21.35868427894453
Andaman & Nicobar Islands,2024,1,Peer-to-peer payments,1436380,4771886847.0,22.286007629249657
Andaman & Nicobar Islands,2024,1,Recharge & bill payments,341224,188939343.0,19.056936590297543
Andaman & Nicobar Islands,2024,1,Financial Services,3761,7962745.0,15.890284473204787
Andaman & Nicobar Islands,2024,1,Others,2517,2550985.0,14.751990509064985
Andaman & Nicobar Islands,2024,2,Merchant payments,2769052,2053269052.0,21.442699019976565
Andaman & Nicobar Islands,2024,2,Peer-to-peer payments,1513157,5033712226.0,22.339423566153435
Andaman & Nicobar Islands,2024,2,Recharge & bill payments,365214,196987648.0,19.09865158930535
Andaman & Nicobar Islands,2024,2,Financial Services,3371,9550750.0,16.072130348108505
Andaman & Nicobar Islands,2024,2,Others,2430,2260654.0,14.631165152266743
Andaman & Nicobar Islands,2024,3,Merchant payments,3158032,2132361939.0,21.480496094319903
Andaman & Nicobar Islands,2024,3,Peer-to-peer payments,1733054,5305660809.0,22.39204016487418
Andaman & Nicobar Islands,2024,3,Recharge & bill payments,382130,213105223.0,19.177296611080905
Andaman & Nicobar Islands,2024,3,Financial Services,4169,10756400.0,16.191011577193247
Andaman & Nicobar Islands,2024,3,Others,1865,1960638.0,14.488780998481758
Andaman & Nicobar Islands,2024,4,Merchant payments,3666060,2546601178.0,21.658025436073736
Andaman & Nicobar Islands,2024,4,Peer-to-peer payments,1993301,6142805445.0,22.538547387781804
Andaman & Nicobar Islands,2024,4,Recharge & bill payments,389318,214912264.0,19.18574043304137
Andaman & Nicobar Islands,2024,4,Financial Services,12889,12789955.0,16.364170733361462
Andaman & Nicobar Islands,2024,4,Others,2332,3835931.0,15.159922988029596
Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698562,20.60930620650562
Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.178782,23.076947982070738
Andhra Pradesh,2018,1,Merchant payments,362672,247297640.24000686,19.326103194395234
Andhra Pradesh,2018,1,Financial Services,204305,44808449.7639544,17.617907312720206
Andhra Pradesh,2018,1,Others,395514,287626042.970705,19.47717173593757
Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488.4880352,21.19238875941378
Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.8953,23.741321728989778
Andhra Pradesh,2018,2,Merchant payments,604847,436785223.86032957,19.894952155953654
Andhra Pradesh,2018,2,Financial Services,225621,68952114.81374599,18.048922847936485
Andhra Pradesh,2018,2,Others,322063,328092346.575651,19.608805674208103
Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.668724,24.211821576788694
Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098146.8941927,21.390632614281998
Andhra Pradesh,2018,3,Merchant payments,1225416,685277254.5076212,20.345334066902147
Andhra Pradesh,2018,3,Financial Services,380324,60790077.57437308,17.922937152278323
Andhra Pradesh,2018,3,Others,348725,284248675.5700202,19.465360034717836
Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.13608,24.57366106176419
Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957,21.606274541946362
Andhra Pradesh,2018,4,Merchant payments,2622131,1671585888.568256,21.23703864722953
Andhra Pradesh,2018,4,Financial Services,400837,57178116.40322068,17.86168182027342
Andhra Pradesh,2018,4,Others,389411,315211361.26249415,19.568753963085392
Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595,25.07385765621041
Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771377,21.97048248252549
Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770.3706346,21.608493785971667
Andhra Pradesh,2019,1,Financial Services,416325,47150177.52982048,17.668848353459065
Andhra Pradesh,2019,1,Others,361263,284937624.5393019,19.467780856523234
Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.47021,25.36693194689029
Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345387.9101095,22.272602385784012
Andhra Pradesh,2019,2,Merchant payments,9226537,4613405202.681959,22.252232077179272
Andhra Pradesh,2019,2,Financial Services,145310,26626696.771042537,17.09742494600944
Andhra Pradesh,2019,2,Others,448802,361492238.3966455,19.705751131550212
Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.51532,25.546274690847405
Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984676.598906,22.653915082468107
Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038.066369,22.788531630690716
Andhra Pradesh,2019,3,Financial Services,122270,29778183.027080443,17.209286603746314
Andhra Pradesh,2019,3,Others,413437,298142027.58625776,19.51308053692327
Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.68753,25.9100567734388
Andhra Pradesh,2019,4,Merchant payments,25122370,13476303367.50486,23.324198673999344
Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999,22.843749581701857
Andhra Pradesh,2019,4,Financial Services,105662,26796571.745749153,17.103784554682104
Andhra Pradesh,2019,4,Others,338672,216496893.16102877,19.193086759627377
Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.04755,26.130834632972192
Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784.496994,23.646597391686743
Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530777.973532,23.104064036819988
Andhra Pradesh,2020,1,Financial Services,75238,43739133.169823855,17.59375377808839
Andhra Pradesh,2020,1,Others,292310,188228538.37489766,19.053167417481152
Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907,26.294399288173164
Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573467,23.555950007931337
Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525.44269,23.84234769199445
Andhra Pradesh,2020,2,Financial Services,140941,145274999.15679634,18.79413905700475
Andhra Pradesh,2020,2,Others,176241,90087654.60009979,18.31629370542411
Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32056,26.730755759678978
Andhra Pradesh,2020,3,Merchant payments,54055557,40739580213.86052,24.43046594368758
Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104674.827175,23.69240280357079
Andhra Pradesh,2020,3,Financial Services,243088,256074924.7187529,19.36098063821069
Andhra Pradesh,2020,3,Others,312329,151582519.18136686,18.836640722291005
Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7708,27.06298849810397
Andhra Pradesh,2020,4,Merchant payments,86581460,66654048149.95168,24.92278161917532
Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337211.557747,23.764752108872866
Andhra Pradesh,2020,4,Financial Services,265470,305168772.45601684,19.536375537120435
Andhra Pradesh,2020,4,Others,457527,306853355.59473807,19.54188052561763
Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018,27.087228319360324
Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713.43477,24.98331115806186
Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482,23.745952795121674
Andhra Pradesh,2021,1,Financial Services,225355,270313028.48452014,19.41509121387522
Andhra Pradesh,2021,1,Others,347907,272546457.5502677,19.423319647628514
Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439,27.32585981332136
Andhra Pradesh,2021,2,Merchant payments,112875274,88512429436.91248,25.20640882472486
Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976,23.927912925606552
Andhra Pradesh,2021,2,Financial Services,243237,265483044.40124667,19.397061537478173
Andhra Pradesh,2021,2,Others,406842,308302224.3856007,19.54659111107749
Andhra Pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307,27.4540943307494
Andhra Pradesh,2021,3,Merchant payments,158290953,118164377968.16754,25.495342525677874
Andhra Pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361,24.037864300518564
Andhra Pradesh,2021,3,Financial Services,211171,297239697.83073866,19.510049438033874
Andhra Pradesh,2021,3,Others,547759,403948275.56756073,19.816797399430985
Andhra Pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1282,27.601870088743084
Andhra Pradesh,2021,4,Merchant payments,207538904,152883933596.5386,25.75294486651562
Andhra Pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985794,24.164734172213205
Andhra Pradesh,2021,4,Financial Services,243951,332740108.6635881,19.622872291773227
Andhra Pradesh,2021,4,Others,701856,545223415.6638832,20.116706207458364
Andhra Pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.4781,27.716858554836783
Andhra Pradesh,2022,1,Merchant payments,242031836,169419685917.19562,25.85564482208312
Andhra Pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001,24.26344331463397
Andhra Pradesh,2022,1,Financial Services,231651,324358965.11859065,19.59736138058516
Andhra Pradesh,2022,1,Others,627694,474382234.25397474,19.977523958180146
Andhra Pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114,27.839180098475296
Andhra Pradesh,2022,2,Merchant payments,292530048,205433660654.20898,26.048388999569305
Andhra Pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145,24.470615639744317
Andhra Pradesh,2022,2,Financial Services,192751,245783011.04455262,19.319959639788976
Andhra Pradesh,2022,2,Others,441925,357036084.9071137,19.69334741560788
Andhra Pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7397,27.762193688881105
Andhra Pradesh,2022,3,Merchant payments,291033653,202910820650.0824,26.03603241232702
Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322,24.447482628160063
Andhra Pradesh,2022,3,Financial Services,187190,239347241.54655045,19.293425953145455
Andhra Pradesh,2022,3,Others,362484,323951101.5715289,19.59610314437823
Andhra Pradesh,2022,4,Merchant payments,321632104,211898851397.09848,26.07937488171564
Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112,27.788238163342303
Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902,24.460622018196357
Andhra Pradesh,2022,4,Financial Services,206459,250596592.06465048,19.3393550052207
Andhra Pradesh,2022,4,Others,345658,339211363.0027188,19.642133963687336
Andhra Pradesh,2023,1,Merchant payments,540680395,311606731877.0,26.465007754939418
Andhra Pradesh,2023,1,Peer-to-peer payments,514931308,1857818168755.0,28.250423887567802
Andhra Pradesh,2023,1,Recharge & bill payments,89143939,78817989795.0,25.090407104658027
Andhra Pradesh,2023,1,Financial Services,288150,331233097.0,19.61833290905723
Andhra Pradesh,2023,1,Others,488672,477193006.0,19.983431593847634
Andhra Pradesh,2023,2,Merchant payments,634303064,349602824539.0,26.58006356004298
Andhra Pradesh,2023,2,Peer-to-peer payments,573455382,2067288068882.0,28.35725875260854
Andhra Pradesh,2023,2,Recharge & bill payments,97202487,88352183038.0,25.20459674439384
Andhra Pradesh,2023,2,Financial Services,316533,386071375.0,19.7715328222521
Andhra Pradesh,2023,2,Others,379498,409939082.0,19.831519128575035
Andhra Pradesh,2023,3,Merchant payments,750265405,395042164275.0,26.70225834115322
Andhra Pradesh,2023,3,Peer-to-peer payments,623202203,2163464730936.0,28.40273209462361
Andhra Pradesh,2023,3,Recharge & bill payments,101000645,94077774967.0,25.267387670391884
Andhra Pradesh,2023,3,Financial Services,361584,466791218.0,19.96139264714576
Andhra Pradesh,2023,3,Others,334566,362636702.0,19.708912072894385
Andhra Pradesh,2023,4,Merchant payments,822516631,427677236042.0,26.781634626640773
Andhra Pradesh,2023,4,Peer-to-peer payments,673002314,2270766948881.0,28.45113875330264
Andhra Pradesh,2023,4,Recharge & bill payments,100733697,103186953776.0,25.35980826511305
Andhra Pradesh,2023,4,Financial Services,431705,535202901.0,20.09815648903564
Andhra Pradesh,2023,4,Others,303079,348636223.0,19.669539598445667
Andhra Pradesh,2024,1,Merchant payments,926373997,468462542792.0,26.87272198407962
Andhra Pradesh,2024,1,Peer-to-peer payments,721764113,2436665736212.0,28.521651719166922
Andhra Pradesh,2024,1,Recharge & bill payments,106564415,106646957337.0,25.392789752042827
Andhra Pradesh,2024,1,Financial Services,427720,634184211.0,20.267850025403558
Andhra Pradesh,2024,1,Others,298240,316249197.0,19.57204106203441
Andhra Pradesh,2024,2,Merchant payments,1068247800,526363160284.0,26.98925723024749
Andhra Pradesh,2024,2,Peer-to-peer payments,748553253,2545133436133.0,28.565204195257575
Andhra Pradesh,2024,2,Recharge & bill payments,112475183,109301693605.0,25.41737772703173
Andhra Pradesh,2024,2,Financial Services,558924,799915709.0,20.500016917581185
Andhra Pradesh,2024,2,Others,287140,324214357.0,19.596915453762055
Andhra Pradesh,2024,3,Merchant payments,1186825685,569822447748.0,27.068590654073112
Andhra Pradesh,2024,3,Peer-to-peer payments,802972632,2555369227206.0,28.569217840770424
Andhra Pradesh,2024,3,Recharge & bill payments,100644574,100291968047.0,25.33135144942563
Andhra Pradesh,2024,3,Financial Services,633983,857014703.0,20.56896563394112
Andhra Pradesh,2024,3,Others,294488,304949785.0,19.535657684952106
Andhra Pradesh,2024,4,Merchant payments,1319061337,622805238380.0,27.15749968788726
Andhra Pradesh,2024,4,Peer-to-peer payments,872917507,2723665407515.0,28.632999665363062
Andhra Pradesh,2024,4,Recharge & bill payments,101888917,104194996949.0,25.369529951197425
Andhra Pradesh,2024,4,Financial Services,2255721,977916755.0,20.700935107812054
Andhra Pradesh,2024,4,Others,322062,372009367.0,19.734429594716037
Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338,15.461113271878256
Arunachal Pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305,18.233021169951588
Arunachal Pradesh,2018,1,Merchant payments,1042,2420374.1905855755,14.699433123547864
Arunachal Pradesh,2018,1,Financial Services,416,58893.76201533088,10.983507435554953
Arunachal Pradesh,2018,1,Others,1990,1834252.8176908877,14.422148317910255
Arunachal Pradesh,2018,2,Recharge & bill payments,50700,10468878.537107183,16.16391756060688
Arunachal Pradesh,2018,2,Peer-to-peer payments,26477,181576281.19464755,19.017186410946913
Arunachal Pradesh,2018,2,Merchant payments,2378,4718953.439561011,15.367097815981056
Arunachal Pradesh,2018,2,Financial Services,559,363761.80159549194,12.804257290238235
Arunachal Pradesh,2018,2,Others,2043,1842317.3691352482,14.426535319698118
Arunachal Pradesh,2018,3,Recharge & bill payments,74122,15997565.906016497,16.58794720026652
Arunachal Pradesh,2018,3,Peer-to-peer payments,49740,308106303.45342577,19.54595542571855
Arunachal Pradesh,2018,3,Merchant payments,4738,5505694.567913429,15.521293672185044
Arunachal Pradesh,2018,3,Financial Services,507,72133.845254878,11.186292497162045
Arunachal Pradesh,2018,3,Others,2039,2044708.9687807972,14.530766512843918
Arunachal Pradesh,2018,4,Recharge & bill payments,97751,20662691.882313278,16.843840355965042
Arunachal Pradesh,2018,4,Peer-to-peer payments,68169,468831493.2328036,19.96575397450129
Arunachal Pradesh,2018,4,Merchant payments,7726,11998974.1040326,16.30033179610752
Arunachal Pradesh,2018,4,Financial Services,561,100597.90379906222,11.518896639958808
Arunachal Pradesh,2018,4,Others,2222,2446271.9688117937,14.710076187045091
Arunachal Pradesh,2019,1,Recharge & bill payments,121303,26796894.998233315,17.103796617811877
Arunachal Pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317,20.158608300007003
Arunachal Pradesh,2019,1,Merchant payments,9214,11727218.401334248,16.27742314234419
Arunachal Pradesh,2019,1,Financial Services,256,140622.87093631705,11.85384402301129
Arunachal Pradesh,2019,1,Others,2239,2730548.5978140826,14.820013464780034
Arunachal Pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234,17.23063728799321
Arunachal Pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435,20.372626846229107
Arunachal Pradesh,2019,2,Merchant payments,16828,13955724.130712911,16.451400385674447
Arunachal Pradesh,2019,2,Financial Services,267,160660.8821362781,11.987057324686434
Arunachal Pradesh,2019,2,Others,3046,3880742.524023137,15.171537323143662
Arunachal Pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842,17.746278885720965
Arunachal Pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606,20.550146683354637
Arunachal Pradesh,2019,3,Merchant payments,16900,17178248.07427002,16.659154552811408
Arunachal Pradesh,2019,3,Financial Services,864,64089.11350267195,11.0680453954855
Arunachal Pradesh,2019,3,Others,2758,3419197.4177385764,15.044916700789127
Arunachal Pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433,17.966816681819118
